"Index","Artist","Title","Mood"
"ML505","LCD Soundsystem","On Repeat","happy"
"ML506","Fotos","Katharina","sad"
"ML507","Ephraim Lewis","Drowning In Your Eyes","relaxed"
"ML508","As I Lay Dying","Losing Sight","angry"
"ML509","Suzi Quatro","Devil Gate Drive","happy"
"ML510","Rammstein","Feuer und Wasser","sad"
"ML511","The Concretes","On The Radio","happy"
"ML512","Rage Against the Machine","Ashes In The Fall","angry"
"ML513","The Aquabats","Pool Party","happy"
"ML514","Barry White","Honey Please, Can't Ya See","happy"
"ML515","Megadeth","Use the Man","angry"
"ML516","Mystery Jets","Half In Love With Elizabeth","happy"
"ML517","Hole","Gutless","angry"
"ML518","Atlantic Starr","Silver Shadow","relaxed"
"ML519","Rare Earth","I Just Want To Celebrate","happy"
"ML520","Jon & Vangelis","He Is Sailing","relaxed"
"ML521","Blonde Redhead","For the Damaged","angry"
"ML522","Anthrax","This Is Not an Exit","angry"
"ML523","Iron & Wine","Peace Beneath the City","relaxed"
"ML524","The Black Heart Procession","The Invitation","sad"
"ML525","Nas","Ether","angry"
"ML526","Rage Against the Machine","Sleep Now in the Fire","angry"
"ML527","Stacey Kent","The Ice Hotel","relaxed"
"ML528","Devo","That's Good","happy"
"ML529","Lenny Kravitz","Can We Find A Reason?","sad"
"ML530","Ghostface Killah","Mighty Healthy","angry"
"ML531","Radiohead","We Suck Young Blood","sad"
"ML532","Joe Nichols","Tequila Makes Her Clothes Fall Off","happy"
"ML533","Natalie Merchant","Thick As Thieves (2005 Version)","sad"
"ML534","Beach House","House on the Hill","relaxed"
"ML535","Bloodhound Gang","You're Pretty When I'm Drunk","happy"
"ML536","Apocalyptica","Bittersweet","sad"
"ML537","Robin Williams","Friend Like Me","happy"
"ML538","Roxy Music","Just Another High","sad"
"ML539","XTC","Senses Working Overtime","angry"
"ML540","Cathedral","Ebony Tears","sad"
"ML541","J. Tillman","Cecille, My Love","relaxed"
"ML542","Jagged Edge","Round And Round","relaxed"
"ML543","Jimmy Eat World","Dizzy","sad"
"ML544","Nightwish","Angels Fall First","sad"
"ML545","Propaganda","Wound In My Heart","relaxed"
"ML546","Suburban Kids With Biblical Names","Seems To Be on My Mind","happy"
"ML547","Celtic Woman","The Wexford Carol","relaxed"
"ML548","Beatallica","Everybody's Got A Ticket To Ride Except For Me And My Lightning","happy"
"ML549","Sade","Babyfather","relaxed"
"ML550","Harvey Danger","Flagpole Sitta","happy"
"ML551","The Avett Brothers","If It's The Beaches","sad"
"ML552","Julie Doiron","Penses-Donc (Tu Es Seule)","sad"
"ML553","The Get Up Kids","The Company Dime","happy"
"ML554","Ice Cube","The Predator","angry"
"ML555","In Flames","Evil in a Closet","sad"
"ML556","Vanessa Carlton","More Than This","relaxed"
"ML557","Riverside","I Turned You Down","sad"
"ML558","Kathy Mattea","Where've You Been","sad"
"ML559","Enya","Water Shows the Hidden Heart","relaxed"
"ML560","Hem","Sailor","relaxed"
"ML561","The Doobie Brothers","It Keeps You Runnin'","relaxed"
"ML562","Dope","Everything Sucks","angry"
"ML563","Marilyn Manson","Irresponsible Hate Anthem","angry"
"ML564","The Puppini Sisters","Soho Nights","happy"
"ML565","Sparta","Echodyne Harmonic","relaxed"
"ML566","The Champs","Tequila","happy"
"ML567","Motorhead","Ace of Spades","angry"
"ML568","Cowboy Junkies","Lay It Down","relaxed"
"ML569","Black Buddafly","Bad Girl ","happy"
"ML570","Level 42","Something About You","happy"
"ML571","Kinks","You Really Got Me","angry"
"ML572","Britney Spears","Oops!...I Did It Again","happy"
"ML573","The Cure","The Promise","angry"
"ML574","Diary of Dreams","Tears of Laughter","sad"
"ML575","Kate Havnevik","Not Fair","relaxed"
"ML576","Gwen Stefani","Hollaback Girl","happy"
"ML577","Manic Street Preachers","The Everlasting","sad"
"ML578","Peaches","Downtown","happy"
"ML579","The Polyphonic Spree","Middle of the Day","sad"
"ML580","London After Midnight","Sacrifice","sad"
"ML581","Stevie Wonder","A Place In The Sun","relaxed"
"ML582","The Cat Empire","The Wine Song","happy"
"ML583","Donavon Frankenreiter","Butterfly","relaxed"
"ML584","Tom Petty And The Heartbreakers","The Dark Of the Sun","relaxed"
"ML585","Ozzy Osbourne","War Pigs","angry"
"ML586","Beach House","Childhood","relaxed"
"ML587","Switchfoot","The Shadow Proves The Sunshine","relaxed"
"ML588","Ben Folds Five","Cigarette","sad"
"ML589","The Sex Pistols","I Wanna Be Me","angry"
"ML590","Chubby Checker","The Twist","happy"
"ML591","Incognito","Everybody Loves The Sunshine","relaxed"
"ML592","Peaches","Shake Yer Dix","happy"
"ML593","The Chameleons","Soul in Isolation","sad"
"ML594","Stars","What the Snowman Learned About Love","relaxed"
"ML595","The Anti-Nowhere League","So What","angry"
"ML596","Peaches","Suck and Let Go","happy"
"ML597","Velvet Revolver","Illegal i Song","angry"
"ML598","Jibbs","Chain Hang Low","happy"
"ML599","Britney Spears","I Run Away","sad"
"ML600","Grand Archives","Swan Matches","relaxed"
"ML601","BjÃƒÂ¶rk","Pluto","angry"
"ML602","Brain Drill","Revelation","angry"
"ML603","Anthony Hamilton","I Tried","relaxed"
"ML604","Grace Jones","Pull Up To The Bumper","happy"
"ML605","Gwen Stefani","Wind It Up","happy"
"ML606","Tyler Hilton","Insomnia (Revised Album Version)","relaxed"
"ML607","Reel Big Fish","Ban The Tube Top","happy"
"ML608","Teitur","Rough Around The Edges","relaxed"
"ML609","Gorillaz","Demon Days","relaxed"
"ML610","Enya","China Roses","relaxed"
"ML611","Pantera","Cemetery Gates","angry"
"ML612","Riverside","Loose Heart","sad"
"ML613","Jazzanova","Look What You're Doin' To Me ","relaxed"
"ML614","Supergrass","Brecon Beacons","happy"
"ML615","Opeth","Bleak","sad"
"ML616","Opeth","White Cluster","sad"
"ML617","Manic Street Preachers","Of Walking Abortion","angry"
"ML618","Shop Boyz","Flexin'","happy"
"ML619","Guns N' Roses","Sweet Child O' Mine","happy"
"ML620","Black Flag","Gimmie Gimmie Gimmie","angry"
"ML621","Timo Maas","Pictures","happy"
"ML622","Nine Inch Nails","Zero-Sum","sad"
"ML623","Astrud Gilberto","The Girl From Ipanema","relaxed"
"ML624","Franz Ferdinand","What You Waiting For?","happy"
"ML625","Ke$ha","Kiss N Tell","happy"
"ML626","Fishbone","Lyin' Ass Bitch","happy"
"ML627","Touch and Go","Would You...?","happy"
"ML628","Britney Spears","Anticipating","happy"
"ML629","Rage Against the Machine","Killing In The Name","angry"
"ML630","Cult of Luna","Waiting For You","sad"
"ML631","Tyrone Wells","Sea Breeze","relaxed"
"ML632","Megadeth","Captive Honour","angry"
"ML633","Thievery Corporation","Heaven's Gonna Burn Your Eyes","relaxed"
"ML634","The-Dream","Right Side Of My Brain","sad"
"ML635","Tindersticks","Walking","sad"
"ML636","The Dillinger Escape Plan","Milk Lizard","angry"
"ML637","Howlin' Wolf","Smokestack Lightning","angry"
"ML638","Vanessa Hudgens","Sneakernight","happy"
"ML639","The Rolling Stones","Tie You Up (The Pain of Love)","angry"
"ML640","Tim Buckley","The Earth is Broken","sad"
"ML641","The Hoosiers","Cops and Robbers","happy"
"ML642","Jane Monheit","Detour Ahead","relaxed"
"ML643","Erykah Badu","Window Seat","relaxed"
"ML644","Mobb Deep","Survival of the Fittest","angry"
"ML645","RÃƒÂ¶yksopp","Dead to the World","relaxed"
"ML646","Limp Bizkit","Getcha Groove On","angry"
"ML647","Ashley Tisdale","He Said She Said","happy"
"ML648","Dolly Parton","9 To 5","happy"
"ML649","Ministry","Just One Fix","angry"
"ML650","Shirley Horn","A Time For Love","relaxed"
"ML651","Rihanna","Breakin' Dishes","angry"
"ML652","Toy-Box","The Sailor Song","happy"
"ML653","Enya","Wild Child","relaxed"
"ML654","Megadeth","Blood of Heroes","angry"
"ML655","Eminem","Mosh","angry"
"ML656","Kate Nash","Pumpkin Soup","happy"
"ML657","Nine Inch Nails","My Violent Heart","angry"
"ML658","Spahn Ranch","The Conversation","sad"
"ML659","Common","Faithful","relaxed"
"ML660","D'Angelo","Jonz In My Bonz","relaxed"
"ML661","The Coral","She's Got A Reason","relaxed"
"ML662","Pete Philly & Perquisite","Mystery Repeats","happy"
"ML663","Andrew Bird","Masterfade","relaxed"
"ML664","Lamb of God","Redneck","angry"
"ML665","The Haunted",99,"angry"
"ML666","Burzum","Dunkelheit","sad"
"ML667","A Silver Mt. Zion","Microphones in the Trees","sad"
"ML668","Gossip","Eyes Open","angry"
"ML669","Emigrate","In My Tears","sad"
"ML670","Dead Boys","Sonic Reducer","angry"
"ML671","Anthony David","Something About You","relaxed"
"ML672","Lisa Loeb","Wishing Heart","happy"
"ML673","Elliott Smith","Bottle Up And Explode!","relaxed"
"ML674","Neurosis","The Tide","sad"
"ML675","Fatboy Slim","Wonderful Night","happy"
"ML676","Justin Timberlake","Like I Love You","happy"
"ML677","Amel Larrieux","Weather","relaxed"
"ML678","Black Kids","Listen To Your Body Tonight","happy"
"ML679","Love Is All","Make Out Fall Out Make Up","sad"
"ML680","The Byrds","Hickory Wind","sad"
"ML681","Megadeth","Elysian Fields","angry"
"ML682","Slayer","Praise of Death","angry"
"ML683","Snow Patrol","Crazy In Love","happy"
"ML684","R. Kelly & Public Announcement","She's Got That Vibe","happy"
"ML685","The Beatles","Run for Your Life","angry"
"ML686","Cat Stevens","Lilywhite","relaxed"
"ML687","Anthrax","Bring the Noise","angry"
"ML688","Britney Spears","Ooh Ooh Baby","happy"
"ML689","Slayer","Piece by Piece","angry"
"ML690","Village People","In the Navy","happy"
"ML691","Deep Dish","Flashdance","happy"
"ML692","Britney Spears","Brave New Girl","happy"
"ML693","Janis Joplin","Summertime","sad"
"ML694","Blue Man Group","Time to Start","happy"
"ML695","Amon Amarth","Ride For Vengeance","angry"
"ML696","Tindersticks","Piano Song","sad"
"ML697","Marilyn Manson","Great Big White World","sad"
"ML698","Arcade Fire","Black Mirror","sad"
"ML699","The Prodigy","Voodoo People","angry"
"ML700","Frida","Baby Don't You Cry No More","relaxed"
"ML701","Kate Nash","Mariella","happy"
"ML702","Thrice","Under A Killing Moon","angry"
"ML703","Fleet Foxes","Blue Ridge Mountains","relaxed"
"ML704","The Honeydrips","(Lack of) Love Will Tear Us Apart","relaxed"
"ML705","Kristin Hersh","Gazebo Tree","sad"
"ML706","Jill Tracy","Haunted By the Thought of You","sad"
"ML707","S Club 7","Bring It All Back","happy"
"ML708","Kanye West","Coldest Winter","sad"
"ML709","The Chemical Brothers","Left Right","angry"
"ML710","Antimatter","Ghosts","sad"
"ML711","Dixie Chicks","Voice Inside My Head","sad"
"ML712","Metallica","Broken, Beat & Scarred","angry"
"ML713","Carbon Based Lifeforms","PhotoSynthesis","relaxed"
"ML714","XTC","This Is Pop?","angry"
"ML715","PJ Harvey","The Darker Days Of Me & Him","sad"
"ML716","Keren Ann","In Your Back","relaxed"
"ML717","Nine Days","Bitter","sad"
"ML718","Art Brut","Modern Art","happy"
"ML719","Laura Marling","Shine","sad"
"ML720","Smokie","Living Next Door To Alice ","relaxed"
"ML721","Mastodon","Blood and Thunder","angry"
"ML722","Rasputina","Watch T.V.","sad"
"ML723","Eminem","My Name Is","happy"
"ML724","Hanne Hukkelberg","Cast Anchor","relaxed"
"ML725","Dolly Parton","Here You Come Again","happy"
"ML726","Pinback","Some Voices","relaxed"
"ML727","2Pac","Me Against the World","angry"
"ML728","Chris Botti","The Look Of Love","relaxed"
"ML729","Mortal Love","In the Sun","sad"
"ML730","Dead Kennedys","Holiday in Cambodia","angry"
"ML731","Acceptance","In Too Far","relaxed"
"ML732","Sun Kil Moon","Neverending Math Equation","relaxed"
"ML733","Nine Inch Nails","I Do Not Want This","angry"
"ML734","Daft Punk","Technologic","happy"
"ML735","Martina McBride","Valentine","relaxed"
"ML736","The Airborne Toxic Event","Something New","sad"
"ML737","Sleeper","Lie Detector","happy"
"ML738","Enya","Deora Ar Mo ChroÃƒÂ­","relaxed"
"ML739","Massive Attack","Daydreaming","relaxed"
"ML740","Silverchair","Lie To Me","angry"
"ML741","No Doubt","Spiderwebs","happy"
"ML742","Guns N Roses","Mr. Brownstone","angry"
"ML743","The Five Blobs","The Blob","happy"
"ML744","Manic Street Preachers","4st 7lb","angry"
"ML745","Saybia","Guardian Angel","sad"
"ML746","Mastodon","Crystal Skull","angry"
"ML747","Mudvayne","IMN","angry"
"ML748","Koop","Waltz for Koop","relaxed"
"ML749","Enigma","Total Eclipse of the Moon","relaxed"
"ML750","A Tribe Called Quest","1nce Again","relaxed"
"ML751","Stevie Wonder","Ribbon In The Sky","relaxed"
"ML752","Sick Puppies","You're Going Down","angry"
"ML753","The Fratellis","Vince The Loveable Stoner","happy"
"ML754","Flowing Tears","Lovesong For A Dead Child","sad"
"ML755","Death From Above 1979","Pull Out","happy"
"ML756","Jimmy Eat World","Claire","relaxed"
"ML757","Buster Poindexter","Hot Hot Hot","happy"
"ML758","Arcana","Like Statues In The Garden Of Dreaming","sad"
"ML759","Keb' Mo'","Just Like You","relaxed"
"ML760","Susanna and the Magical Orchestra","Time","relaxed"
"ML761","Joan Baez","The Night They Drove Old Dixie Down","sad"
"ML762","Melanie C","Carolyna","sad"
"ML763","Madredeus","O Sonho","relaxed"
"ML764","The Black Dahlia Murder","Miasma","angry"
"ML765","Sting","Children's Crusade","sad"
"ML766","James Taylor","That Lonesome Road","sad"
"ML767","50 Cent","U Not Like Me","angry"
"ML768","The Kingsmen","Louie Louie","happy"
"ML769","Cypress Hill","Stoned Is the Way of the Walk","angry"
"ML770","India.Arie","God Is Real","relaxed"
"ML771","Ice Cube","The Nigga Ya Love to Hate","angry"
"ML772","Frankie Valli","Grease","happy"
"ML773","Huey Lewis & The News","I Want a New Drug","happy"
"ML774","Grant Lee Buffalo","Rock of Ages","sad"
"ML775","Kelis","Caught Out There","angry"
"ML776","Scissor Sisters","She's My Man","happy"
"ML777","The Innocence Mission","Lake Shore Drive","relaxed"
"ML778","Matt Wertz","Like The Last Time","relaxed"
"ML779","Ella Fitzgerald","Solitude ","relaxed"
"ML780","Ben Kweller","Thirteen","sad"
"ML781","Ozzy Osbourne","Running Out of Time","angry"
"ML782","Tindersticks","Travelling Light","sad"
"ML783","Blonde Redhead","Girl Boy","relaxed"
"ML784","The Clash","London's Burning","angry"
"ML785","Mark Kozelek","Bad Boy Boogie","sad"
"ML786","Norah Jones","The Long Day Is Over","relaxed"
"ML787","The Rubettes","Sugar Baby Love","happy"
"ML788","Vienna Teng","Green Island Serenade","relaxed"
"ML789","Keren Ann","Ailleurs","relaxed"
"ML790","Gotan Project","Queremos paz","relaxed"
"ML791","The Organ","There Is Nothing I Can Do","sad"
"ML792","Cocteau Twins","Wolf in the Breast","relaxed"
"ML793","A Perfect Circle","People Are People","relaxed"
"ML794","Behemoth","At the Left Hand Ov God","angry"
"ML795","Ke$ha","Blah Blah Blah ","happy"
"ML796","Beastie Boys","The Sounds Of Science","happy"
"ML797","Essie Jain","Glory","relaxed"
"ML798","BeyoncÃƒÂ©","Baby Boy","happy"
"ML799","Karen Matheson","Mi Le M' Uilinn","relaxed"
"ML800","Fountains Of Wayne","Stacy's Mom","happy"
"ML801","CÃƒÂ©line Dion","Declaration Of Love","happy"
"ML802","Public Enemy","Welcome to the Terrordome","angry"
"ML803","Ice Cube","No Vaseline","angry"
"ML804","Lily Holbrook","Welcome to the Slaughterhouse","sad"
"ML805","Silverchair","Miss You Love","sad"
"ML806","Megadeth","Vortex","angry"
"ML807","Ours","Sometimes","sad"
"ML808","Relient K","The Pirates Who Don't Do Anything","happy"
"ML809","Daughtry","Call Your Name","sad"
"ML810","John Mayer","New Deep","relaxed"
"ML811","Moonspell","Awake","sad"
"ML812","Local Natives","Who Knows Who Cares","sad"
"ML813","Metallica","Damage Inc.","angry"
"ML814","Switchfoot","Let Your Love Be Strong","sad"
"ML815","Depeche Mode","Sister Of Night","sad"
"ML816","Machine Head","Take my Scars","angry"
"ML817","Jazzanova","Look What You're Doin' To Me","relaxed"
"ML818","Wir sind Helden","Darf Ich Das Behalten","sad"
"ML819","At The Drive-In","Alpha Centauri","angry"
"ML820","Korn","Thoughtless","angry"
"ML821","Dave Matthews Band","Satellite","relaxed"
"ML822","Celtic Woman","Over The Rainbow","relaxed"
"ML823","Marty Robbins","El Paso","relaxed"
"ML824","Rihanna","Stupid In Love","sad"
"ML825","Amber Pacific","If I Fall","sad"
"ML826","Sally Shapiro","Time To Let Go","sad"
"ML827","Slayer","Supremist","angry"
"ML828","Machine Head","The Blood, the Sweat, the Tears","angry"
"ML829","Ida Maria","Louie","happy"
"ML830","Shout Out Louds","Never Ever","happy"
"ML831","The Rocket Summer","Hold It Up","happy"
"ML832","Sting","Little Wing","relaxed"
"ML833","The Coral","Shadows Fall","happy"
"ML834","Amos Lee","Keep It Loose, Keep It Tight","relaxed"
"ML835","Paradise Lost","Say Just Words","sad"
"ML836","System of a Down","Soldier Side","angry"
"ML837","India.Arie","These Eyes","relaxed"
"ML838","The Mountain Goats","So Desperate","sad"
"ML839","Ozma","Continental Drift (Flight Of The Bootymademoiselle)","sad"
"ML840","Edison Lighthouse","Love Grows (Where My Rosemary Goes)","happy"
"ML841","Rage Against the Machine","Voice of the Voiceless","angry"
"ML842","Anthrax","Indians","angry"
"ML843","Thousand Foot Krutch","Favorite Disease","sad"
"ML844","Everything But The Girl","Meet Me in the Morning","relaxed"
"ML845","Marilyn Manson","Little Horn","angry"
"ML846","Razorlight","Get It And Go","happy"
"ML847","Shakira","Rabiosa","happy"
"ML848","Goldfish","Times May Change You","relaxed"
"ML849","Kraftwerk","Autobahn","relaxed"
"ML850","Mastodon","Siberian Divide","angry"
"ML851","Lene Marlin","Unforgivable Sinner","sad"
"ML852","Wolfmother","Vagabond","happy"
"ML853","Velvet Underground","White Light/White Heat","angry"
"ML854","Thea Gilmore","Whistle And Steam","relaxed"
"ML855","DIR EN GREY","CONCEIVED SORROW","sad"
"ML856","John Lennon","I Found Out","angry"
"ML857","The Dresden Dolls","Girl Anachronism","angry"
"ML858","Scars of life","Bullet with your name","angry"
"ML859","Slayer","Altar of Sacrifice","angry"
"ML860","Nine Inch Nails","Gave Up","angry"
"ML861","AC/DC","Evil Walks","angry"
"ML862","Stevie Wonder","Love Light In Flight","happy"
"ML863","Rage Against the Machine","Revolver","angry"
"ML864","Ron Sexsmith","Snow Angel","relaxed"
"ML865","Slayer","Fight Till Death","angry"
"ML866","Soft Cell","Youth","sad"
"ML867","The Pierces","Boy in a Rock and Roll Band","happy"
"ML868","Bruce Springsteen","War","angry"
"ML869","Bloodhound Gang","Kiss Me Where It Smells Funny","happy"
"ML870","The Intruders","Together","relaxed"
"ML871","Cut Chemist","Spoon","relaxed"
"ML872","Girls Aloud","Jump","happy"
"ML873","Diana Krall","Little Girl Blue","relaxed"
"ML874","Jefferson Starship","Miracles","relaxed"
"ML875","Mad Caddies","Rockupation","happy"
"ML876","Mariah Carey","Melt Away","relaxed"
"ML877","Wu-Tang Clan","Da Mystery of Chessboxin'","angry"
"ML878","Papa Roach","Last Resort","angry"
"ML879","Guillemots","Falling Out Of Reach","relaxed"
"ML880","Justin Timberlake","LoveStoned/I Think She Knows Interlude","happy"
"ML881","Psapp","Needle and Thread","relaxed"
"ML882","Cradle of Filth","Lovesick for Mina","angry"
"ML883","Lily Allen","Friday Night","happy"
"ML884","Sandi Thom","What If I'm Right","happy"
"ML885","Sneaker Pimps","How Do","relaxed"
"ML886","Jimmy Eat World","Pain","angry"
"ML887","Ice Cube","Wicked","angry"
"ML888","Delta Goodrem","Fragile","sad"
"ML889","Captain Hollywood Project","More and More","happy"
"ML890","From First To Last","The Latest Plague","angry"
"ML891","Primordial","Gods To The Godless","sad"
"ML892","Rage Against the Machine","Mic Check","angry"
"ML893","Flyleaf","Red Sam","angry"
"ML894","Rage Against The Machine","Killing in the Name","angry"
"ML895","N-Trance","Set You Free","happy"
"ML896","Mazzy Star","Before I Sleep","relaxed"
"ML897","Man Man","Feathers","sad"
"ML898","The Mamas & The Papas","Words Of Love","relaxed"
"ML899","Redman","Blow Your Mind","angry"
"ML900","Scott Walker","If You Go Away","sad"
"ML901","Anberlin","Hello Alone","angry"
"ML902","U2","A Man And A Woman","happy"
"ML903","Great Big Sea","Captain Wedderburn","relaxed"
"ML904","The Blues Brothers","Rubber Biscuit","happy"
"ML905","The Pipettes","Tell Me What You Want","happy"
"ML906","The Rolling Stones","Citadel","angry"
"ML907","Ween","Monique the Freak","happy"
"ML908","Adverts","Gary Gilmore's Eyes","angry"
"ML909","Frank Sinatra","Nancy (With The Laughing Face)","relaxed"
"ML910","Bebel Gilberto","So Nice (Summer Samba)","relaxed"
"ML911","New London Fire","Nadine","sad"
"ML912","Annie","Anniemal","happy"
"ML913","Animal Collective","Loch Raven","relaxed"
"ML914","Bright Eyes","Classic Cars","relaxed"
"ML915","Lizz Wright","Hey Mann","relaxed"
"ML916","Fiona Apple","Limp","angry"
"ML917","The Jackson 5","ABC","happy"
"ML918","Todd Rundgren","One More Day (No Word)","relaxed"
"ML919","Rage Against the Machine","Wind Below","angry"
"ML920","Al Green","Let's Get Married","relaxed"
"ML921","Jimmy Durante","I'M The Guy Who Found The Lost Chord","happy"
"ML922","Yael NaÃƒÂ¯m","Too Long","relaxed"
"ML923","Chairlift","Ceiling Wax","relaxed"
"ML924","India.Arie","Nature","relaxed"
"ML925","James Blunt","High (live in Ireland)","relaxed"
"ML926","Lucinda Williams","Broken Butterflies","sad"
"ML927","Skip James","Hard Time Killin' Floor Blues","sad"
"ML928","My Dying Bride","My Wine in Silence","sad"
"ML929","Acid Bath","Toubabo Koomi","angry"
"ML930","Infernal","I Won't Be Crying","happy"
"ML931","Camera Obscura","Your Picture","sad"
"ML932","Florence + The Machine","Blinding","sad"
"ML933","Aberfeldy","Love Is an Arrow","sad"
"ML934","Antony and the Johnsons","The Lake","sad"
"ML935","Estatic Fear","Chapter I","sad"
"ML936","Joni Mitchell","The Last Time I Saw Richard","sad"
"ML937","The Presets","This Boy's In Love","happy"
"ML938","Gary Numan","Rip","sad"
"ML939","Nevermore","Enemies Of Reality","angry"
"ML940","Cake","Pretty Pink Ribbon","happy"
"ML941","Chevelle","Don't Fake This","angry"
"ML942","Lamb of God","Bloodletting","angry"
"ML943","Megadeth","Good Mourning/Black Friday","angry"
"ML944","Less Than Jake","History Of A Boring Town","happy"
"ML945","Sebadoh","Soul and Fire","sad"
"ML946","Opeth","Moonlapse Vertigo","sad"
"ML947","Linkin Park","Runaway","angry"
"ML948","Nile","Sacrifice Unto Sebek","angry"
"ML949","of Montreal","The Party's Crashing Us","happy"
"ML950","Jane Monheit","Over The Rainbow","relaxed"
"ML951","Donald Fagen","The Great Pagoda Of Funn","relaxed"
"ML952","Jens Lekman","Friday Night at the Drive-In Bingo","happy"
"ML953","Fannypack","Not This","relaxed"
"ML954","MÃƒÂ½a","Now or Never","happy"
"ML955","Atlantic Starr","If Your Heart Isn't In It","relaxed"
"ML956","Cassandra Wilson","Closer To You","relaxed"
"ML957","Azam Ali","In Other Worlds","sad"
"ML958","Misfits","Halloween","angry"
"ML959","Clannad","A Bridge (That Carries Us Over)","relaxed"
"ML960","Squarepusher","A Real Woman","happy"
"ML961","Mr. Hyde","Spill Your Blood","angry"
"ML962","M83","Carresses","relaxed"
"ML963","Arctic Monkeys","Fake Tales of San Francisco","happy"
"ML964","Less Than Jake","Just Like Frank","happy"
"ML965","Megadeth","Sin","angry"
"ML966","L'Arc~en~Ciel","ALONE EN LA VIDA","sad"
"ML967","The Velvet Underground","Heroin","sad"
"ML968","Relient K","Must Have Done Something Right","happy"
"ML969","Primordial","The Coffin Ships","sad"
"ML970","Air","Sing Sang Sung","relaxed"
"ML971","Moya Brennan","River","relaxed"
"ML972","Kane","Where Do I Go Now","sad"
"ML973","The Unicorns","Sea Ghost","happy"
"ML974","Corinne Bailey Rae","Butterfly","relaxed"
"ML975","Corinne Bailey Rae","Another Rainy Day","relaxed"
"ML976","Spice Girls","Love Thing","happy"
"ML977","Nina Simone","My Man's Gone Now","sad"
"ML978","Rammstein","Benzin","angry"
"ML979","Maggie Reilly","Reunion","relaxed"
"ML980","Nas","One Mic","angry"
"ML981","RÃƒÂ³isÃƒÂ­n Murphy","Primitive","happy"
"ML982","Franz Ferdinand","Michael","happy"
"ML983","Chubby Checker","Limbo Rock","happy"
"ML984","Undertones","Get Over You","angry"
"ML985","ERA","Cathar Rhythm","relaxed"
"ML986","Limp Bizkit","The Propaganda","angry"
"ML987","Yoko Ono","Kiss Kiss Kiss","happy"
"ML988","Fractured","One More Time","sad"
"ML989","The Cure","Out of Mind","angry"
"ML990","BrokeNCYDE","Sex Toyz","happy"
"ML991","Kaskade","Your Love Is Black","sad"
"ML992","The Helio Sequence","Back to This","relaxed"
"ML993","Michael Jackson","Bad","happy"
"ML994","Pescado Rabioso","Dulce 3 Nocturno","relaxed"
"ML995","Lifehouse","The Beginning","relaxed"
"ML996","The Chameleons","Monkeyland","sad"
"ML997","Black Flag","Nervous Breakdown","angry"
"ML998","Bauhaus","Slice Of Life","sad"
"ML999","Johnny Cash","Sunday Morning Coming Down","sad"
"ML1000","Bowling For Soup","Almost","happy"
"ML1001","Alien Ant Farm","Glow","happy"
"ML1002","Lou Reed","The Kids","sad"
"ML1003","Halou","Political","relaxed"
"ML1004","Evan Rachel Wood","Hold Me Tight","happy"
"ML1005","Great Lake Swimmers","I Will Never See the Sun","relaxed"
"ML1006","Gorillaz","Superfast Jellyfish","happy"
"ML1007","Nine Inch Nails","Heresy","angry"
"ML1008","Enigma","The Cross of Changes","relaxed"
"ML1009","At The Drive In","Quarantined","angry"
"ML1010","The Unicorns","Jellybones","happy"
"ML1011","Guns N' Roses","This I Love","sad"
"ML1012","Venetian Snares","Dad","sad"
